Learning Rate,Weight Decay,Run,Transfer Epochs,FineTune Epochs,Loss,Acc
0.005,0.075,run_0,56,3,1.1483750343322754,0.6000000238418579
0.005,0.075,run_1,71,5,1.1884251832962036,0.5600000023841858
0.005,0.075,run_2,57,6,1.1828811168670654,0.5
0.005,0.075,run_3,39,3,1.0790343284606934,0.4583333432674408
0.005,0.075,run_4,4,5,1.2121026515960693,0.5833333134651184
0.005,0.075,run_5,11,8,1.256203055381775,0.4583333432674408
0.005,0.075,run_6,64,2,1.1620298624038696,0.6666666865348816
0.005,0.075,run_7,51,6,0.9000476002693176,0.7083333134651184
0.005,0.075,run_8,7,7,1.2674369812011719,0.5
0.005,0.075,run_9,48,4,0.9703148007392883,0.5833333134651184
0.005,0.025,run_0,55,5,1.0443334579467773,0.6000000238418579
0.005,0.025,run_1,62,5,0.9443925619125366,0.6000000238418579
0.005,0.025,run_2,12,13,1.3285017013549805,0.5
0.005,0.025,run_3,10,5,1.149166464805603,0.5
0.005,0.025,run_4,56,8,1.0996919870376587,0.6666666865348816
0.005,0.025,run_5,39,3,1.2041683197021484,0.6666666865348816
0.005,0.025,run_6,55,7,0.8776189684867859,0.7083333134651184
0.005,0.025,run_7,59,9,0.970511257648468,0.5833333134651184
0.005,0.025,run_8,108,5,1.2416155338287354,0.625
0.005,0.025,run_9,22,3,1.1765722036361694,0.5
0.006,0.075,run_0,34,5,1.1208173036575317,0.6000000238418579
0.006,0.075,run_1,24,9,0.8792702555656433,0.6800000071525574
0.006,0.075,run_2,43,9,0.8926975131034851,0.625
0.006,0.075,run_3,13,34,1.1745914220809937,0.5416666865348816
0.006,0.075,run_4,16,8,1.1425559520721436,0.5833333134651184
0.006,0.075,run_5,54,5,1.2133147716522217,0.5416666865348816
0.006,0.075,run_6,37,8,1.3473936319351196,0.4166666567325592
0.006,0.075,run_7,53,1,1.3486436605453491,0.5416666865348816
0.006,0.075,run_8,49,13,1.0220614671707153,0.625
0.006,0.075,run_9,8,1,1.3141213655471802,0.375
0.006,0.025,run_0,32,8,1.3108527660369873,0.5199999809265137
0.006,0.025,run_1,35,3,0.9299249053001404,0.7599999904632568
0.006,0.025,run_2,14,3,1.484984040260315,0.375
0.006,0.025,run_3,44,10,1.1848657131195068,0.5416666865348816
0.006,0.025,run_4,72,5,1.417435646057129,0.4583333432674408
0.006,0.025,run_5,10,5,1.1210427284240723,0.5416666865348816
0.006,0.025,run_6,30,12,0.9388720393180847,0.7916666865348816
0.006,0.025,run_7,3,8,1.0703535079956055,0.625
0.006,0.025,run_8,9,8,1.1944456100463867,0.5
0.006,0.025,run_9,61,7,0.9898611903190613,0.7083333134651184
0.012,0.075,run_0,28,2,1.1937944889068604,0.6000000238418579
0.012,0.075,run_1,32,2,1.2174508571624756,0.6000000238418579
0.012,0.075,run_2,26,8,1.1518690586090088,0.5416666865348816
0.012,0.075,run_3,25,1,1.1173783540725708,0.5416666865348816
0.012,0.075,run_4,29,2,1.1252892017364502,0.625
0.012,0.075,run_5,14,2,1.5067973136901855,0.5
0.012,0.075,run_6,27,1,1.1771764755249023,0.7083333134651184
0.012,0.075,run_7,14,3,1.08897864818573,0.5416666865348816
0.012,0.075,run_8,38,6,1.2705960273742676,0.6666666865348816
0.012,0.075,run_9,25,5,1.231177568435669,0.4583333432674408
0.012,0.025,run_0,28,6,1.2641021013259888,0.6399999856948853
0.012,0.025,run_1,18,4,1.401576280593872,0.47999998927116394
0.012,0.025,run_2,49,11,1.2974406480789185,0.625
0.012,0.025,run_3,9,2,1.339376449584961,0.5
0.012,0.025,run_4,35,4,1.2389271259307861,0.625
0.012,0.025,run_5,8,4,1.1961923837661743,0.5416666865348816
0.012,0.025,run_6,19,3,1.0466530323028564,0.5833333134651184
0.012,0.025,run_7,25,5,1.2518489360809326,0.5
0.012,0.025,run_8,33,8,1.104304552078247,0.6666666865348816
0.012,0.025,run_9,2,3,1.0192389488220215,0.625
