Learning Rate,Weight Decay,Run,Transfer Epochs,FineTune Epochs,Loss,Acc
0.001,0.1,run_6,100,50,0.8617075085639954,0.7083333134651184
0.001,0.1,run_7,67,49,1.223144769668579,0.6666666865348816
0.001,0.1,run_8,5,6,1.9847444295883179,0.5
0.001,0.1,run_9,55,6,1.5734881162643433,0.5416666865348816
0.001,0.05,run_0,8,6,1.0888408422470093,0.6000000238418579
0.001,0.05,run_1,40,6,2.126817464828491,0.4000000059604645
0.001,0.05,run_2,56,7,1.7460960149765015,0.625
0.001,0.05,run_3,17,6,1.2606889009475708,0.6666666865348816
0.001,0.05,run_4,5,6,1.7472981214523315,0.5
0.001,0.05,run_5,100,34,0.9818757176399231,0.7083333134651184
0.001,0.05,run_6,86,14,1.3543809652328491,0.4583333432674408
0.001,0.05,run_7,56,5,1.9516452550888062,0.5416666865348816
0.001,0.05,run_8,61,6,1.1893320083618164,0.625
0.001,0.05,run_9,43,48,1.6889623403549194,0.5416666865348816
0.001,0.01,run_0,5,9,1.7623218297958374,0.3199999928474426
0.001,0.01,run_1,24,6,1.562303066253662,0.5600000023841858
0.001,0.01,run_2,100,34,1.139034628868103,0.7083333134651184
0.001,0.01,run_3,5,8,1.8099685907363892,0.5
0.001,0.01,run_4,2,4,2.0943403244018555,0.375
0.001,0.01,run_5,35,6,2.1204824447631836,0.5416666865348816
0.001,0.01,run_6,15,4,1.071119785308838,0.625
0.001,0.01,run_7,100,46,1.1540021896362305,0.5833333134651184
0.001,0.01,run_8,100,40,0.7275097966194153,0.7916666865348816
0.001,0.01,run_9,48,6,2.159076452255249,0.4583333432674408
0.001,0.005,run_0,19,6,1.454429268836975,0.5199999809265137
0.001,0.005,run_1,21,50,1.5342793464660645,0.47999998927116394
0.001,0.005,run_2,100,1,1.5685170888900757,0.5833333134651184
0.001,0.005,run_3,100,10,1.0489921569824219,0.6666666865348816
0.001,0.005,run_4,4,50,1.196892499923706,0.5833333134651184
0.001,0.005,run_5,5,5,1.642024040222168,0.5416666865348816
0.001,0.005,run_6,44,6,0.8194939494132996,0.6666666865348816
0.001,0.005,run_7,63,6,1.3199831247329712,0.6666666865348816
0.001,0.005,run_8,14,7,2.272665500640869,0.5
0.001,0.005,run_9,14,1,2.2698402404785156,0.5833333134651184
0.0001,0.1,run_0,88,8,1.6754481792449951,0.5199999809265137
0.0001,0.1,run_1,18,4,2.3102400302886963,0.4399999976158142
0.0001,0.1,run_2,2,6,1.4783053398132324,0.4583333432674408
0.0001,0.1,run_3,20,6,2.050963878631592,0.5833333134651184
0.0001,0.1,run_4,24,11,1.771898627281189,0.5
0.0001,0.1,run_5,48,8,1.903088092803955,0.5833333134651184
0.0001,0.1,run_6,4,3,2.5474600791931152,0.375
0.0001,0.1,run_7,7,2,2.0157952308654785,0.5
0.0001,0.1,run_8,50,6,1.9914640188217163,0.5416666865348816
0.0001,0.1,run_9,17,5,2.322770357131958,0.5416666865348816
0.0001,0.05,run_0,5,6,1.6914676427841187,0.5600000023841858
0.0001,0.05,run_1,38,6,1.7122303247451782,0.6000000238418579
0.0001,0.05,run_2,13,6,1.8958983421325684,0.4166666567325592
0.0001,0.05,run_3,7,6,1.4144834280014038,0.5416666865348816
0.0001,0.05,run_4,6,3,2.9454727172851562,0.3333333432674408
0.0001,0.05,run_5,14,7,1.7546510696411133,0.6666666865348816
0.0001,0.05,run_6,4,6,2.3726465702056885,0.375
0.0001,0.05,run_7,2,6,2.7842588424682617,0.3333333432674408
0.0001,0.05,run_8,44,3,1.7848992347717285,0.5
0.0001,0.05,run_9,3,7,2.520665168762207,0.4166666567325592
0.0001,0.01,run_0,17,4,2.577735185623169,0.4399999976158142
0.0001,0.01,run_1,10,1,2.2849795818328857,0.4399999976158142
0.0001,0.01,run_2,26,8,1.8568978309631348,0.4583333432674408
0.0001,0.01,run_3,20,6,1.642529845237732,0.4583333432674408
0.0001,0.01,run_4,56,8,1.6341723203659058,0.7083333134651184
0.0001,0.01,run_5,4,38,2.0701370239257812,0.4166666567325592
0.0001,0.01,run_6,6,1,1.3180060386657715,0.625
0.0001,0.01,run_7,2,6,2.517014503479004,0.5
0.0001,0.01,run_8,5,6,2.315187454223633,0.375
0.0001,0.01,run_9,2,4,1.8775591850280762,0.5
0.0001,0.005,run_0,3,4,1.8000088930130005,0.6000000238418579
0.0001,0.005,run_1,7,6,1.4980772733688354,0.47999998927116394
0.0001,0.005,run_2,2,9,2.7919692993164062,0.4166666567325592
0.0001,0.005,run_3,2,1,1.6103025674819946,0.625
0.0001,0.005,run_4,45,6,1.7759159803390503,0.625
0.0001,0.005,run_5,6,7,2.4647955894470215,0.375
0.0001,0.005,run_6,24,3,1.8044461011886597,0.4166666567325592
0.0001,0.005,run_7,15,6,1.6101936101913452,0.625
0.0001,0.005,run_8,6,6,2.2368316650390625,0.4166666567325592
0.0001,0.005,run_9,57,3,3.2798702716827393,0.375
