Learning Rate,Weight Decay,Run,Transfer Epochs,FineTune Epochs,Loss,Acc
0.005,0.1,run_0,36,7,1.3064148426055908,0.4399999976158142
0.005,0.1,run_1,11,7,0.949536919593811,0.6000000238418579
0.005,0.1,run_2,45,13,1.1605976819992065,0.5833333134651184
0.005,0.1,run_3,70,7,1.3600276708602905,0.5
0.005,0.1,run_4,53,6,1.0862936973571777,0.6666666865348816
0.005,0.1,run_5,46,6,0.8994894623756409,0.7083333134651184
0.005,0.1,run_6,88,3,1.1590139865875244,0.625
0.005,0.1,run_7,37,2,1.379907250404358,0.4166666567325592
0.005,0.1,run_8,41,6,0.9564083218574524,0.5416666865348816
0.005,0.1,run_9,51,6,0.9896602034568787,0.625
0.005,0.05,run_0,62,6,0.9168800115585327,0.7599999904632568
0.005,0.05,run_1,65,9,1.2282006740570068,0.5199999809265137
0.005,0.05,run_2,71,6,1.1211278438568115,0.5833333134651184
0.005,0.05,run_3,4,6,1.0910930633544922,0.5833333134651184
0.005,0.05,run_4,14,7,1.284647822380066,0.5416666865348816
0.005,0.05,run_5,42,7,1.2389533519744873,0.5416666865348816
0.005,0.05,run_6,17,5,1.006611943244934,0.6666666865348816
0.005,0.05,run_7,12,3,0.8299468159675598,0.7083333134651184
0.005,0.05,run_8,65,4,1.2963260412216187,0.5
0.005,0.05,run_9,69,8,1.168175220489502,0.5
0.005,0.01,run_0,74,2,0.9385525584220886,0.7599999904632568
0.005,0.01,run_1,62,8,1.1468359231948853,0.5199999809265137
0.005,0.01,run_2,19,4,1.242314338684082,0.7083333134651184
0.005,0.01,run_3,28,3,1.101597785949707,0.6666666865348816
0.005,0.01,run_4,22,4,1.3751940727233887,0.4583333432674408
0.005,0.01,run_5,36,6,0.7143601775169373,0.7083333134651184
0.005,0.01,run_6,44,2,1.0996458530426025,0.5416666865348816
0.005,0.01,run_7,16,4,1.027724266052246,0.625
0.005,0.01,run_8,79,9,1.164008617401123,0.625
0.005,0.01,run_9,44,6,1.250671625137329,0.5416666865348816
0.005,0.005,run_0,65,6,1.0247520208358765,0.6000000238418579
0.005,0.005,run_1,9,12,1.1144822835922241,0.47999998927116394
0.005,0.005,run_2,34,7,0.9887048602104187,0.5416666865348816
0.005,0.005,run_3,95,5,1.0755069255828857,0.625
0.005,0.005,run_4,88,12,1.0562750101089478,0.7916666865348816
0.005,0.005,run_5,19,6,1.2463502883911133,0.5
0.005,0.005,run_6,43,29,1.1354691982269287,0.5833333134651184
0.005,0.005,run_7,35,9,1.1866596937179565,0.625
0.005,0.005,run_8,6,18,1.4648990631103516,0.5
0.005,0.005,run_9,62,6,1.1381219625473022,0.625
0.001,0.1,run_0,84,6,1.272364854812622,0.6000000238418579
0.001,0.1,run_1,15,6,1.6499484777450562,0.5199999809265137
0.001,0.1,run_2,29,50,1.493776798248291,0.4583333432674408
0.001,0.1,run_3,2,5,2.495542049407959,0.375
0.001,0.1,run_4,27,3,1.1671266555786133,0.7083333134651184
0.001,0.1,run_5,100,42,1.3383814096450806,0.5
